,topic,name,user,star,fork,watch,issue,pull_requests,projects,topic_tag,discription_text,discription_url,commits,branches,packages,releases,contributers,License,url
23,java,awesome-java,akullpp,24.5k,5.4k,2.2k,1,3,0,"['awesome', 'awesome-list']","A curated list of awesome frameworks, libraries and software for the Java programming language.",,"1,506",1,0,0,0,View license,https://github.com/akullpp/awesome-java
24,java,Java,TheAlgorithms,22.8k,8.3k,1.4k,38,357,0,"['java', 'algorithms', 'implementation', 'algorithms-implemented', 'algorithms-datastructures', 'algorithm-challenges', 'wiki', 'reference']",All Algorithms implemented in Java,,971,3,0,0,0,MIT,https://github.com/TheAlgorithms/Java
25,java,EventBus,greenrobot,22.4k,4.5k,1.1k,91,42,0,[],"Event bus for Android and Java that simplifies communication between Activities, Fragments, Threads, Services, etc. Less code, better quality.",http://greenrobot.org/eventbus/,507,9,0,0,7,Apache-2.0,https://github.com/greenrobot/EventBus
26,java,jadx,skylot,21.9k,2.6k,706,139,2,1,"['android', 'dex', 'java', 'decompiler']",Dex to Java decompiler,,"1,212",6,0,0,14,Apache-2.0,https://github.com/skylot/jadx
27,java,spring-boot-examples,ityouknow,21.8k,9.9k,1.3k,2,0,0,"['spring-boot', 'spring-data-jpa', 'mybatis', 'thymeleaf', 'rabbitmq', 'mongodb', 'spring-boot-mongodb', 'scheduler', 'spring-boot-mail', 'spring-boot-examples', 'spring-boot-upload-file', 'fastdfs', 'java', 'docker', 'docker-composer', 'spring', 'springboot-shiro', 'springboot', 'springcloud', 'spring-cloud']",about learning Spring Boot via examples. Spring Boot 教程、技术栈示例代码，快速简单上手教程。,http://www.ityouknow.com/spring-boot.…,165,2,0,0,0,Fetching contributors,https://github.com/ityouknow/spring-boot-examples
28,java,ResumeSample,geekcompany,21.5k,7.7k,1k,2,0,,[],Resume template for Chinese programmers . 程序员简历模板系列。包括PHP程序员简历模板、iOS程序员简历模板、Android程序员简历模板、Web前端程序员简历模板、Java程序员简历模板、C/C++程序员简历模板、NodeJS程序员简历模板、架构师简历模板以及通用程序员简历模板,http://get.jobdeer.com/744.get,26,1,0,0,0,Fetching contributors,https://github.com/geekcompany/ResumeSample
29,java,p3c,alibaba,21.2k,5.3k,1.3k,63,15,0,[],Alibaba Java Coding Guidelines pmd implements and IDE plugin,https://github.com/alibaba/p3c/wiki,249,3,0,0,25,Apache-2.0,https://github.com/alibaba/p3c
30,java,fastjson,alibaba,21.2k,5.7k,1.4k,"1,289",38,1,"['fastjson', 'java', 'android', 'json', 'json-parser', 'json-serialization', 'json-serializer', 'serialization', 'deserialization', 'best-performance']",A fast JSON parser/generator for Java.,https://github.com/alibaba/fastjson/wiki,"3,480",14,0,0,122,Apache-2.0,https://github.com/alibaba/fastjson
31,java,arthas,alibaba,20.7k,4.4k,1.1k,107,22,1,"['java', 'agent', 'trace', 'jvm', 'arthas', 'trouble-shooting', 'diagnosis', 'classloader', 'alibaba']",Alibaba Java Diagnostic Tool Arthas/Alibaba Java诊断利器Arthas,https://arthas.gitee.io/,926,3,0,0,18,Apache-2.0,https://github.com/alibaba/arthas
32,java,awesome-javascript,sorrycc,20.1k,2.9k,1k,17,193,,[],"🐢 A collection of awesome browser-side JavaScript libraries, resources and shiny things.",,674,2,0,0,0,"206
    
    contributors",https://github.com/sorrycc/awesome-javascript
