,topic,name,user,star,fork,watch,issue,pull_requests,projects,topic_tag,discription_text,discription_url,commits,branches,packages,releases,contributers,License,url
0,awesome,awesome-self-supervised-learning,jason718,2k,320,140,0,1,0,"['machine-learning', 'computer-vision', 'self-supervised', 'reinforcement-learning', 'robotics', 'natural-language-processing', 'deep-learning']",A curated list of awesome self-supervised methods,,116,1,0,0,0,Fetching contributors,https://github.com/jason718/awesome-self-supervised-learning
1,awesome,awesome-eslint,dustinspecker,2k,148,67,1,2,0,"['awesome-list', 'awesome', 'list', 'eslint']","A list of awesome ESLint plugins, configs, etc.",,172,1,0,0,0,CC0-1.0,https://github.com/dustinspecker/awesome-eslint
2,awesome,awesome-json-datasets,jdorfman,2k,266,89,0,0,0,"['json-dataset', 'json', 'awesome', 'awesome-list', 'list', 'data', 'dataset', 'datasets']",A curated list of awesome JSON datasets that don't require authentication.,,256,6,0,0,0,CC0-1.0,https://github.com/jdorfman/awesome-json-datasets
3,awesome,awesome-copycats,lcpz,2k,421,115,3,0,0,"['awesomewm', 'themes', 'lua']",Awesome WM themes,,821,2,0,0,0,"34
    
    contributors",https://github.com/lcpz/awesome-copycats
4,awesome,awesome-pentest-cheat-sheets,coreb1t,2k,513,151,1,4,0,"['cheatsheet', 'security-cheat-sheets', 'pentest-cheat-sheets', 'security', 'pentest', 'awesome', 'penetration-testing']",Collection of the cheat sheets useful for pentesting,,76,1,0,0,0,Fetching contributors,https://github.com/coreb1t/awesome-pentest-cheat-sheets
5,awesome,awesome-django,wsvincent,2k,396,109,0,1,0,"['awesome-list', 'django', 'awesome']",A curated list of awesome things related to Django,,211,2,0,0,0,Fetching contributors,https://github.com/wsvincent/awesome-django
6,awesome,awesome-compose,docker,1.9k,144,65,3,4,0,"['awesome-list', 'awesome', 'docker-compose']",Awesome Docker Compose samples,https://docs.docker.com/compose/,115,1,0,0,0,CC0-1.0,https://github.com/docker/awesome-compose
7,awesome,awesome-etl,pawl,1.9k,222,133,3,10,0,[],"A curated list of awesome ETL frameworks, libraries, and software.",,53,1,0,0,0,Fetching contributors,https://github.com/pawl/awesome-etl
8,awesome,awesome-online-ide,styfle,1.9k,172,86,9,3,,"['awesome', 'awesome-list', 'ide', 'lists', 'list']",🌩️ A list of awesome online development environments,https://ide.ceriously.com,198,1,0,0,0,View license,https://github.com/styfle/awesome-online-ide
9,awesome,bug-bounty-reference,ngalongc,1.9k,648,195,0,0,0,[],"Inspired by https://github.com/djadmin/awesome-bug-bounty, a list of bug bounty write-up that is categorized by the bug nature",https://github.com/djadmin/awesome-bug-bounty,196,1,0,0,0,Fetching contributors,https://github.com/ngalongc/bug-bounty-reference
10,awesome,awesome-knowledge-distillation,dkozlov,1.9k,338,96,0,0,0,"['knowledge-distillation', 'knowledge-transfer', 'teacher-student', 'co-training']",Awesome Knowledge Distillation,,101,1,0,0,0,Fetching contributors,https://github.com/dkozlov/awesome-knowledge-distillation
11,awesome,Context-Menu.iOS,Yalantis,1.9k,269,87,3,0,0,"['ios', 'objective-c', 'menu', 'yalantis', 'customization', 'rotation-animation', 'uiview-property', 'animation', 'contextmenu', 'context-menu']",You can easily add awesome animated context menu to your app.,https://yalantis.com/?utm_source=github,56,2,0,0,3,Apache-2.0,https://github.com/Yalantis/Context-Menu.iOS
12,awesome,WhatsNewKit,SvenTiigi,1.9k,95,30,0,0,,"['whatsnew', 'features', 'showcase', 'kit', 'cocoapods', 'carthage', 'swift']",Showcase your awesome new app features 📱,https://sventiigi.github.io/WhatsNewKit/,484,3,0,0,17,MIT,https://github.com/SvenTiigi/WhatsNewKit
13,awesome,awesome-kotlin,mcxiaoke,1.9k,241,95,4,1,0,"['kotlin-language', 'android-development', 'kotlin-plugin', 'kotlin-android', 'java', 'kotlin']","A curated list of awesome Kotlin frameworks, libraries, documents and other resources",,152,1,0,0,0,Fetching contributors,https://github.com/mcxiaoke/awesome-kotlin
14,awesome,awesome-github,AntBranch,1.9k,515,156,0,0,0,"['github', 'awesome-github', 'git', 'github-rank', 'github-card', 'github-stars', 'github-pages', 'gitbook', 'github-api', 'travis-ci', 'github-trending', 'github-extension', 'github-client', 'awesome-list']","A curated list of awesome GitHub guides, articles, sites, tools, projects and resources. 收集这个列表，只是为了更好地使用GitHub,欢迎提交pr和issue。",https://github.com/AntBranch/awesome-…,112,1,0,0,0,Fetching contributors,https://github.com/AntBranch/awesome-github
15,awesome,ios_top_1000,iamdaiyuan,1.9k,327,124,0,0,0,[],A curated list of awesome iOS top 1000 libraries.,http://iamdaiyuan.github.io/,5,1,0,0,0,Apache-2.0,https://github.com/iamdaiyuan/ios_top_1000
16,awesome,material-design-data,Luosunce,1.8k,300,68,0,0,0,"['android', 'android-material', 'material-design', 'material-icons', 'material-ui', 'material-theme', 'app-material', 'awesome', 'open-source', 'open-source-design', 'open-source-project', 'animation', 'android-library', 'apps']",关于 Material Design 的一切资料都在这里,,34,1,0,0,0,Fetching contributors,https://github.com/Luosunce/material-design-data
